"DATE","Pet","Weight"
2018-08-12,"Raisin",19
2018-08-19,"Raisin",20
2018-08-22,"Raisin",20
2018-08-24,"Raisin",19
2018-08-27,"Raisin",19
2018-08-29,"Raisin",19
2018-08-31,"Raisin",19
2018-09-02,"Raisin",19
2018-09-03,"Raisin",19
2018-09-04,"Raisin",19
2018-09-05,"Raisin",19
2018-09-06,"Raisin",19
2018-09-07,"Raisin",19
2018-09-08,"Raisin",19
2018-09-09,"Raisin",19
2018-09-10,"Raisin",19
2018-09-11,"Raisin",19
2018-09-12,"Raisin",19
2018-09-13,"Raisin",19
2018-09-14,"Raisin",19
2018-09-15,"Raisin",19
2018-09-16,"Raisin",19
2018-10-01,"Raisin",19
2018-10-02,"Raisin",19
2018-10-03,"Raisin",19
2018-10-04,"Raisin",18
2018-10-09,"Raisin",19
2018-10-10,"Raisin",19
2018-10-11,"Raisin",19
2018-10-12,"Raisin",19
2018-10-13,"Raisin",19
2018-10-14,"Raisin",19
2018-10-15,"Raisin",19
2018-10-16,"Raisin",18
2018-10-17,"Raisin",18
2018-10-18,"Raisin",18
2018-10-22,"Raisin",18
2018-10-23,"Raisin",18
2018-10-24,"Raisin",18
2018-10-25,"Raisin",18
2018-10-26,"Raisin",18
2018-10-27,"Raisin",18
2018-10-28,"Raisin",18
2018-10-29,"Raisin",18
2018-10-30,"Raisin",18
2018-10-31,"Raisin",18
2018-11-01,"Raisin",18
2018-11-02,"Raisin",18
2018-11-04,"Raisin",18
2018-11-05,"Raisin",18
2018-11-06,"Raisin",18
2018-11-18,"Raisin",19
2018-11-19,"Raisin",19
2018-11-20,"Raisin",18
2018-11-21,"Raisin",18
2018-11-22,"Raisin",18
2018-11-23,"Raisin",18
2018-11-29,"Raisin",18
2018-12-01,"Raisin",18
2018-12-04,"Raisin",18
2018-12-05,"Raisin",18
2018-12-06,"Raisin",18
2018-12-08,"Raisin",18
2018-12-09,"Raisin",18
2018-12-10,"Raisin",18
2018-12-11,"Raisin",18
2018-12-17,"Raisin",17
2018-12-18,"Raisin",17
2019-01-08,"Raisin",17
2019-01-10,"Raisin",17
2019-01-14,"Raisin",17
2019-01-17,"Raisin",17
2019-01-19,"Raisin",17
2019-01-26,"Raisin",18
2019-01-27,"Raisin",18
2019-01-28,"Raisin",17
2019-02-04,"Raisin",18
2019-02-06,"Raisin",18
2019-02-08,"Raisin",18
2019-02-10,"Raisin",17
2019-02-13,"Raisin",18
2019-02-15,"Raisin",17
2019-02-26,"Raisin",17
2019-02-28,"Raisin",17
2019-03-03,"Raisin",17
2019-03-05,"Raisin",17
2019-03-19,"Raisin",18
2019-03-21,"Raisin",18
2019-03-23,"Raisin",17
2019-03-25,"Raisin",17
2019-03-31,"Raisin",17
2019-04-05,"Raisin",17
2019-04-07,"Raisin",17
2019-04-09,"Raisin",17
2019-04-11,"Raisin",17
2019-04-15,"Raisin",17
2019-04-21,"Raisin",17
2019-04-24,"Raisin",17
2019-04-30,"Raisin",17
2019-05-03,"Raisin",17
2019-05-06,"Raisin",17
2019-05-10,"Raisin",17
2019-05-17,"Raisin",17
2019-05-31,"Raisin",17
2019-06-08,"Raisin",18
2019-06-12,"Raisin",17
2019-06-15,"Raisin",17
2019-06-21,"Raisin",18
2019-07-03,"Raisin",18
2019-07-08,"Raisin",18
2019-07-16,"Raisin",18
2019-07-19,"Raisin",18
2019-07-23,"Raisin",18
2019-07-26,"Raisin",18
2019-07-30,"Raisin",18
2019-08-04,"Raisin",18
2019-08-06,"Raisin",18
2019-08-10,"Raisin",17
2019-08-14,"Raisin",15
2019-08-18,"Raisin",18
2019-08-22,"Raisin",17
2019-08-25,"Raisin",17
2019-08-28,"Raisin",17
2019-09-03,"Raisin",17
2019-09-06,"Raisin",17
2019-09-22,"Raisin",17
2019-09-25,"Raisin",17
2019-10-02,"Raisin",17
2019-10-07,"Raisin",17
2019-10-11,"Raisin",17
2019-10-15,"Raisin",17
2019-10-19,"Raisin",17
2019-10-22,"Raisin",17
2019-11-04,"Raisin",17
2019-11-06,"Raisin",17
2019-11-10,"Raisin",17
2019-11-17,"Raisin",17
2019-11-24,"Raisin",17
2019-11-30,"Raisin",17
2019-12-07,"Raisin",17
2019-12-12,"Raisin",17
2019-12-15,"Raisin",17
2019-12-19,"Raisin",17
2019-12-30,"Raisin",17
2020-01-11,"Raisin",17
2020-01-13,"Raisin",17
2020-01-19,"Raisin",17
2020-01-22,"Raisin",17
2020-01-29,"Raisin",18
2020-02-03,"Raisin",17
2020-02-06,"Raisin",17
2020-02-13,"Raisin",17
2020-02-18,"Raisin",17
2020-02-25,"Raisin",17
2020-03-04,"Raisin",17
2020-03-10,"Raisin",17
2020-03-13,"Raisin",17
2020-03-20,"Raisin",17
2020-03-24,"Raisin",17
2020-03-30,"Raisin",17
2020-04-03,"Raisin",17
2020-04-06,"Raisin",17
2020-04-10,"Raisin",17
2020-04-17,"Raisin",17
2020-04-20,"Raisin",17
2020-04-26,"Raisin",18
2020-05-02,"Raisin",18
2020-05-06,"Raisin",18
2020-05-12,"Raisin",18
2020-05-16,"Raisin",18
2020-05-20,"Raisin",18
2020-05-22,"Raisin",18
2020-05-23,"Raisin",18
2020-05-30,"Raisin",18
2020-06-04,"Raisin",18
2020-06-09,"Raisin",18
2020-06-10,"Raisin",18
2020-06-13,"Raisin",18
2020-06-16,"Raisin",18
2020-06-18,"Raisin",18
2020-06-21,"Raisin",18
2020-06-23,"Raisin",18
2020-07-12,"Raisin",18
2020-07-13,"Raisin",18
2020-07-14,"Raisin",18
2020-07-15,"Raisin",18
2020-07-17,"Raisin",18
2020-07-18,"Raisin",18
2020-07-20,"Raisin",18
2020-07-23,"Raisin",18
2020-07-24,"Raisin",18
2020-07-27,"Raisin",18
2020-07-29,"Raisin",18
2020-07-31,"Raisin",18
2020-08-02,"Raisin",18
2020-08-03,"Raisin",18
2020-08-04,"Raisin",18
2020-08-06,"Raisin",18
2020-08-07,"Raisin",18
2020-09-01,"Raisin",18
2020-09-07,"Raisin",18
2018-08-12,"Simone",10
2018-08-19,"Simone",11
2018-08-22,"Simone",11
2018-08-24,"Simone",11
2018-08-27,"Simone",10
2018-08-29,"Simone",11
2018-08-31,"Simone",11
2018-09-02,"Simone",10
2018-09-03,"Simone",10
2018-09-04,"Simone",11
2018-09-05,"Simone",11
2018-09-06,"Simone",11
2018-09-07,"Simone",11
2018-09-08,"Simone",11
2018-09-09,"Simone",11
2018-09-10,"Simone",11
2018-09-11,"Simone",10
2018-09-12,"Simone",11
2018-09-13,"Simone",11
2018-09-14,"Simone",11
2018-09-16,"Simone",11
2018-10-01,"Simone",10
2018-10-02,"Simone",11
2018-10-03,"Simone",10
2018-10-04,"Simone",10
2018-10-09,"Simone",10
2018-10-10,"Simone",10
2018-10-11,"Simone",10
2018-10-12,"Simone",10
2018-10-13,"Simone",10
2018-10-14,"Simone",10
2018-10-16,"Simone",10
2018-10-17,"Simone",10
2018-10-18,"Simone",10
2018-10-22,"Simone",10
2018-10-23,"Simone",10
2018-10-24,"Simone",10
2018-10-25,"Simone",10
2018-10-26,"Simone",10
2018-10-27,"Simone",10
2018-10-28,"Simone",10
2018-10-29,"Simone",10
2018-10-30,"Simone",10
2018-10-31,"Simone",10
2018-11-01,"Simone",10
2018-11-02,"Simone",10
2018-11-04,"Simone",10
2018-11-05,"Simone",10
2018-11-06,"Simone",10
2018-11-19,"Simone",10
2018-11-20,"Simone",10
2018-11-21,"Simone",10
2018-11-22,"Simone",10
2018-11-23,"Simone",10
2018-11-29,"Simone",10
2018-12-01,"Simone",10
2018-12-04,"Simone",10
2018-12-05,"Simone",10
2018-12-06,"Simone",10
2018-12-08,"Simone",10
2018-12-09,"Simone",10
2018-12-11,"Simone",10
2018-12-17,"Simone",10
2018-12-18,"Simone",10
2019-01-08,"Simone",10
2019-01-10,"Simone",10
2019-01-14,"Simone",9
2019-01-17,"Simone",10
2019-01-19,"Simone",10
2019-01-26,"Simone",10
2019-01-27,"Simone",10
2019-01-28,"Simone",10
2019-02-04,"Simone",10
2019-02-06,"Simone",10
2019-02-08,"Simone",10
2019-02-10,"Simone",10
2019-02-13,"Simone",10
2019-02-26,"Simone",10
2019-02-28,"Simone",10
2019-03-03,"Simone",10
2019-03-05,"Simone",10
2019-03-19,"Simone",9
2019-03-21,"Simone",10
2019-03-23,"Simone",10
2019-03-25,"Simone",10
2019-03-31,"Simone",10
2019-04-05,"Simone",10
2019-04-07,"Simone",10
2019-04-09,"Simone",10
2019-04-11,"Simone",10
2019-04-15,"Simone",9
2019-04-21,"Simone",10
2019-04-24,"Simone",10
2019-04-30,"Simone",10
2019-05-03,"Simone",10
2019-05-06,"Simone",10
2019-05-10,"Simone",10
2019-05-17,"Simone",10
2019-05-31,"Simone",9
2019-06-08,"Simone",10
2019-06-12,"Simone",10
2019-06-15,"Simone",10
2019-06-21,"Simone",10
2019-07-03,"Simone",10
2019-07-08,"Simone",10
2019-07-16,"Simone",10
2019-07-19,"Simone",10
2019-07-23,"Simone",10
2019-07-26,"Simone",10
2019-07-30,"Simone",10
2019-08-04,"Simone",10
2019-08-06,"Simone",10
2019-08-10,"Simone",10
2019-08-14,"Simone",10
2019-08-18,"Simone",10
2019-08-22,"Simone",10
2019-08-25,"Simone",10
2019-08-28,"Simone",10
2019-09-03,"Simone",9
2019-09-06,"Simone",10
2019-09-22,"Simone",9
2019-09-25,"Simone",10
2019-10-02,"Simone",10
2019-10-07,"Simone",10
2019-10-11,"Simone",10
2019-10-15,"Simone",10
2019-10-19,"Simone",10
2019-10-22,"Simone",10
2019-11-04,"Simone",9
2019-11-06,"Simone",9
2019-11-10,"Simone",10
2019-11-17,"Simone",9
2019-11-24,"Simone",9
2019-11-30,"Simone",9
2019-12-07,"Simone",9
2019-12-12,"Simone",10
2019-12-15,"Simone",10
2019-12-19,"Simone",9
2019-12-30,"Simone",9
2020-01-11,"Simone",9
2020-01-13,"Simone",9
2020-01-19,"Simone",9
2020-01-22,"Simone",9
2020-01-29,"Simone",9
2020-02-03,"Simone",9
2020-02-06,"Simone",9
2020-02-13,"Simone",9
2020-02-18,"Simone",9
2020-02-25,"Simone",9
2020-03-04,"Simone",10
